image_path,text
train/0.png,put down a resolution on the subject
train/1.png,and he is to be backed by Mr. Will
train/2.png,nominating any more Labour life Peers
train/3.png,M Ps tomorrow. Mr. Michael Foot has
train/4.png,"Griffiths, M P for Manchester Exchange ."
train/5.png,is to be made at a meeting of Labour
train/6.png,A MOVE to stop Mr. Gaitskell from
train/7.png,0M P for Manchester Exchange .
train/8.png,A MOVE to stop Mr. Gaitskell from nominating
train/9.png,meeting of Labour 0M Ps tommorow . Mr. Michael
train/10.png,any more Labour life Peers is to be made at a
train/11.png,Foot has put down a resolution on the subject
train/12.png,"and he is to be backed by Mr. Will Griffiths ,"
train/13.png,"which would appear to "" prop up "" an out-dated"
train/14.png,"Though they may gather some Left-wing support , a"
train/15.png,"life peers into existence , they should not"
train/16.png,and that Labour should not take any steps
train/17.png,now put forward nominees . He believes
train/18.png,large majority of Labour M Ps are likely to
train/19.png,that the House of Lords should be abolished
train/20.png,institution .
train/21.png,opposed the Government Bill which brought
train/22.png,turn down the Foot-Griffiths resolution . Mr.
train/23.png,Foot's line will be that as Labour M Ps
train/24.png,"into existence , they should not now put"
train/25.png,Though they may gather some Left-wing
train/26.png,"which would appear to "" prop up "" an out-"
train/27.png,House of Lords should be abolished and
train/28.png,M Ps are likely to turn down the Foot-
train/29.png,that Labour should not take any steps
train/30.png,be that as Labour M Ps opposed the
train/31.png,forward nominees . He believes that the
train/32.png,Government Bill which brought life peers
train/33.png,Griffiths resolution . Mr. Foot's line will
train/34.png,"support , a large majority of Labour"
train/35.png,will be that as Labour 0M Ps opposed the Govern-
train/36.png,that Labour should not take any steps which would
train/37.png,"appear to "" prop up "" an out-dated institution ."
train/38.png,large majority of Labour 0m Ps are likely to turn
train/39.png,that the House of Lords should be abolished and
train/40.png,"Though they may gather some Left-wing support , a"
train/41.png,down the Foot-Griffiths resolution . Mr. Foot's line
train/42.png,"ment Bill which brought life peers into existence , they"
train/43.png,should not now put forward nominees . He believes
train/44.png,get together to face the challenge from Sir
train/45.png,members . THE two rival African Nationalist
train/46.png,"Roy Welensky , the Federal Premier ."
train/47.png,Parties of Northern Rhodesia have agreed to
train/48.png,Peeresses have been created . Most Labour
train/49.png,Labour has to have an adequate number of
train/50.png,sentiment would # still favour the abolition
train/51.png,"of the House of Lords , but while it remains"
train/52.png,"Since 1958 , 13 Labour life Peers and"
train/53.png,of members . THE two rival African
train/54.png,Peeresses have been created . Most Labour
train/55.png,"the challenge from Sir Roy Welensky ,"
train/56.png,"of the House of Lords , but while it remains"
train/57.png,have agreed to get together to face
train/58.png,"Since 1958 , 13 Labour life Peers and"
train/59.png,the Federal Premier .
train/60.png,Labour has to have an adequate number
train/61.png,Nationalist Parties of Northern Rhodesia
train/62.png,sentiment would still favour the abolition
train/63.png,Peeresses have been created . Most Labour sentiment
train/64.png,"Since 1958 , 13 Labour life Peers and #"
train/65.png,"of Lords , but while it remains Labour has to"
train/66.png,"challenge from Sir Roy Welensky , the Federal Premier ."
train/67.png,two rival African Nationalist Parties of Northern
train/68.png,would still favour the abolition of the House
train/69.png,have an adequate number of members . THE
train/70.png,Rhodesia have agreed to get together to face the
train/71.png,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African"
train/72.png,to discuss a common course of action . Sir Roy is
train/73.png,Delegates from Mr. Kenneth Kaunda's United National Independence
train/74.png,violently opposed to Africans getting an elected majority
train/75.png,"in Northern Rhodesia , but the Colonial Secretary ,"
train/76.png,"National Congress ( 400,000 ) will meet in London today"
train/77.png,"Mr. Iain Macleod , is insisting on a policy of change ."
train/78.png,Delegates from Mr. Kenneth Kaunda's
train/79.png,"( 280,000 members ) and Mr. Harry Nkumbula's"
train/80.png,"majority in Northern Rhodesia , but the"
train/81.png,"African National Congress ( 400,000 ) will"
train/82.png,meet in London today to discuss a common
train/83.png,United National Independence Party
